Country Name+A1:AK40;Country Code;Variable;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Algeria;DZA;Manufacturing, value added (% of GDP);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;34,47905286;44,98039779;10,3451538;9,261218511;8,640079984;7,861182135;8,061518762;8,115846563;8,460452279;8,82116732;7,87621943;9,370825052;9,733438746;8,55895561;8,020186457;9,877979709;7,110017599;6,898538766;7,334568294;7,0773804;6,403969944;6,282395033;8,188608658;10,25281825;7,775141533
Algeria;DZA;Manufacturing, value added (constant 2015 US$);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9557931138;9892540053;9782250611;10212669638;9875651540;9095475068;7913063309;8277064221;8690917432;9464409084;9833521038;11928061019;12011557446;10209823829;10230243477;13728986746;13330846131;13957395899;15367092885;15751270207;16113549421;16661410102;17727740348;19996891113;20316841371
Algeria;DZA;Population, total;11394307;11598608;11778260;11969451;12179099;12381256;12613389;12897115;13190975;13491016;13795915;14110271;14439748;14786469;15153602;15724692;16500516;17134192;17632645;18166981;18739378;19351357;20000096;20682111;21393530;22132905;22882553;23586101;24243018;24889507;25518074;26133905;26748303;27354327;27937006;28478022;28984634;29476031;29924668;30346083;30774621;31200985;31624696;32055883;32510186;32956690;33435080;33983827;34569592;35196037;35856344;36543541;37260563;38000626;38760168;39543154;40339329;41136546;41927007;42705368;43451666;44177969;44903225;45606480
Angola;AGO;Fertility rate, total (births per woman);6,708;6,79;6,872;6,954;7,036;7,116;7,194;7,267;7,332;7,388;7,434;7,467;7,488;7,498;7,5;7,494;7,485;7,475;7,467;7,461;7,459;7,459;7,461;7,462;7,459;7,451;7,435;7,409;7,373;7,328;7,272;7,208;7,138;7,065;6,99;6,918;6,851;6,789;6,732;6,683;6,639;6,601;6,567;6,533;6,499;6,461;6,419;6,372;6,32;6,26;6,194;6,12;6,039;5,953;5,864;5,774;5,686;5,6;5,519;5,442;5,371;5,304;5,209;..
Angola;AGO;Gross savings (% of GDP);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;28,87681625;26,05546133;33,53600551;41,18765335;43,45458359;41,49897023;38,65885864;27,65787363;36,9873386;37,88854984;37,23299841;31,9785712;29,85796511;24,81755493;24,01749017;23,09966944;25,09992382;32,10299532;28,06598155;38,29084767;36,60326973;30,17871709
Angola;AGO;Bank deposits to GDP (%);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;11,02488;15,52524;16,42821;17,66536;18,84872;13,94027;16,8162;12,91612;10,70298;9,946123;10,2368;12,89404;15,2673;19,40754;38,22892;31,10098;31,37027;29,04334;31,07033;33,2584;38,15775;36,74832;30,10038;29,15427;31,76875;36,41713;22,58882;36,41713;22,58882
Angola;AGO;Literacy rate, youth total (% of people ages 15-24);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;72,19448853;..;..;..;..;..;..;..;..;..;..;..;..;77,43112946;..;..;..;..;..;..;..;83,30000305;..
Angola;AGO;Literacy rate, adult total (% of people ages 15 and above);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;67,4054184;..;..;..;..;..;..;..;..;..;..;..;..;66,03011322;..;..;..;..;..;..;..;72,40000153;..
Angola;AGO;School enrollment, secondary (% net);..;..;..;..;..;..;..;..;..;..;..;..;4,46014;..;..;..;..;..;..;..;..;..;7,16385;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9,15376;9,63002;11,29064;..;..;..;..;..;..;..;..;..;..;..;..;..
Angola;AGO;School enrollment, secondary (% gross);..;..;..;..;..;..;..;..;..;..;..;5,798699856;6,445899963;7,247270107;..;..;..;..;8,023889542;..;10,33164978;13,37814999;9,575240135;8,819979668;11,1124897;9,619890213;11,01323032;10,69913006;9,015390396;9,958569527;9,180239677;9,680000305;10,88276005;..;..;..;..;..;11,39118004;11,29327011;12,85634041;14,46280956;15,61305046;..;..;..;..;..;22,31722069;23,85004997;27,68209076;27,93120003;..;..;..;..;53,58145142;..;..;..;..;..;..;..
Angola;AGO;Price of electricity (US cents per kWh);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4,7;4,6;8,8;6;4,6;3,7;..;..;..;..
Angola;AGO;Electric power consumption (kWh per capita);..;..;..;..;..;..;..;..;..;..;..;90,01061834;98,66874185;112,188233;135,5385245;139,2065907;60,41190183;58,44064647;56,48779722;58,68297987;60,74395499;58,62277944;60,35440104;63,27676405;52,19542049;60,57797202;58,45590847;56,76049791;55,24281932;53,67368393;53,26056981;54,54385919;53,59189589;52,15415849;50,80956952;49,38093061;51,17027674;69,32888696;73,2745471;71,89324917;75,27115611;82,63688638;86,03494183;95,83796201;87,47477842;109,1977007;144,6260702;133,2396989;172,4175925;189,3132094;206,3842586;206,6852326;218,5539218;278,808255;310,0816685;..;..;..;..;..;..;..;..;..
Angola;AGO;Electricity production (kWh);..;..;..;..;..;..;..;..;..;..;..;742000000;838000000;984000000;1230000000;1310000000;585000000;585000000;585000000;630000000;675000000;675000000;720000000;783000000;670000000;806000000;806000000;810000000;815000000;819000000;841000000;934000000;947000000;950000000;955000000;960000000;1030000000;1150000000;1320000000;1340000000;1450000000;1640000000;1770000000;2000000000;2230000000;2790000000;3310000000;3220000000;4160000000;4740000000;5260000000;5,65E+09;6,20E+09;8,22E+09;9,48E+09;9,76E+09;..;..;..;..;..;..;..;..
Angola;AGO;Manufacturing, value added (% of GDP);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3,646280794;3,445749994;4,378391184;6,259370843;3,222875779;2,890163321;3,873100814;3,661825665;3,999814529;4,681938309;3,912883549;3,612815774;3,39949164;3,461736807;5,109421549;4,541774035;4,167804733;4,403289533;4,827342652;4,763071572;5,685144803;6,752680742;6,580549657;6,059469233;6,137446984;7,063042725;6,540512976;7,449350947;8,005340476
Angola;AGO;Manufacturing, value added (constant 2015 US$);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2255448288;2376152449;2770014022;2939685554;3132185861;3195348152;3384340361;3614475506;3959885969;4319606313;4732553419;5098198133;4592590177;5144852547;5743584196;5811344178;5844576191;5548913098;5700632513;5747268413;5889101535;5972227852
Angola;AGO;Population, total;5357195;5441333;5521400;5599827;5673199;5736582;5787044;5827503;5868203;5928386;6029700;6177049;6364731;6578230;6802494;7032713;7266780;7511895;7771590;8043218;8330047;8631457;8947152;9276707;9617702;9970621;10332574;10694057;11060261;11439498;11828638;12228691;12632507;13038270;13462031;13912253;14383350;14871146;15366864;15870753;16394062;16941587;17516139;18124342;18771125;19450959;20162340;20909684;21691522;22507674;23364185;24259111;25188292;26147002;27128337;28127721;29154746;30208628;31273533;32353588;33428486;34503774;35588987;36684202
Bangladesh;BGD;Fertility rate, total (births per woman);6,784;6,831;6,865;6,841;6,837;6,83;6,824;6,854;6,85;6,863;6,882;6,865;6,845;6,819;6,794;6,737;6,674;6,593;6,516;6,424;6,323;6,239;6,116;5,891;5,727;5,541;5,3;5,073;4,844;4,676;4,479;4,24;4,026;3,852;3,774;3,605;3,504;3,491;3,393;3,304;3,218;3,146;3,084;3,002;2,914;2,808;2,712;2,626;2,535;2,44;2,34;2,262;2,209;2,184;2,152;2,114;2,097;2,043;2,04;2,031;2,003;1,981;1,95;..
Bangladesh;BGD;Gross savings (% of GDP);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;-0,840906616;10,03992261;5,704443543;7,076281516;8,332931314;21,14318205;23,52848225;23,09953972;16,29489054;21,52029364;22,77606457;22,62537719;22,19589584;22,34616801;23,02441186;22,56040592;21,99400383;20,90120214;22,41716006;22,14615449;23,13879408;24,3974787;25,83405473;26,65995682;27,79745769;28,42229043;30,74917643;30,1645967;31,57740067;32,35940724;35,34119099;36,31746258;37,38187779;38,97639389;38,78177386;38,05948974;40,59957949;39,74538772;37,77923222;36,73095603;37,28029922;35,28520314;35,45903952;36,35360241;37,18886621;36,05117425;33,94946441;34,90435988
Bangladesh;BGD;Bank deposits to GDP (%);..;..;..;..;..;..;..;..;..;..;..;..;..;..;9,919312;6,441416;9,08758;11,19004;10,44351;10,48015;9,182261;10,17094;10,25282;12,76112;14,66419;14,81671;15,4976;16,00768;16,57565;17,92846;17,58007;18,35002;18,79009;19,58475;21,39968;21,2944;21,79434;21,95865;22,25198;23,38269;25,66441;35,84621;38,51483;40,26582;41,41428;42,93893;44,9175;45,14507;45,92002;41,96027;44,91123;47,17822;49,13249;50,15551;51,09233;51,11006;50,47702;48,79554;46,7331;46,53048;48,76784;41,05363;48,76784;41,05363
Bangladesh;BGD;Literacy rate, youth total (% of people ages 15-24);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;35,65325165;..;..;..;..;..;..;..;..;..;44,68082809;..;..;..;..;..;..;..;..;100;63,62273026;..;..;..;..;..;61,87281036;..;..;..;77,98499298;77,83290863;85,52715302;85,55473328;87,88877106;92,24265289;92,95075989;93,29644012;94,86242676;94,46177673;94,83194733;..;..
Bangladesh;BGD;Literacy rate, adult total (% of people ages 15 and above);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;29,22723007;..;..;..;..;..;..;..;..;..;35,31930161;..;..;..;..;..;..;..;..;..;47,48550034;..;..;..;..;..;46,66360092;..;..;..;58,7691803;57,86074829;61,01554108;61,09329987;65,1373291;72,7587204;72,89296722;73,91220093;74,6844635;74,9088974;76,36287689;..;..
Bangladesh;BGD;School enrollment, secondary (% net);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16,52433;14,53011;..;..;..;16,01118;..;19,38873;..;..;..;19,49982;..;..;..;..;..;..;..;..;..;..;41,96004;45,10087;46,4506;47,72372;48,85865;48,62257;45,27481;43,94428;44,60284;45,41006;..;46,3405;47,65124;47,29212;49,66535;54,27441;..;59,13634;65,21977;63,74088;66,54968;..;..;..;..;..
Bangladesh;BGD;School enrollment, secondary (% gross);..;..;..;..;..;..;..;..;..;..;..;..;..;19,05647087;..;..;16,94911957;17,29538918;..;17,6225605;19,61556053;17,32423019;..;20,7030201;20,79851913;20,12690926;19,59539986;19,97999954;19,9463501;19,8626194;20,45442963;..;..;..;..;..;..;..;43,69552994;46,97890854;48,71913147;50,31414032;51,41809845;51,25708008;47,86413956;46,60287857;47,08378983;47,90071869;45,9643898;49,73410034;51,18600082;51,50299835;53,65340042;57,95899963;..;62,03123093;66,92299652;64,85600281;67,42099762;67,22100067;69,01399994;70,29299927;71,8219986;..
Bangladesh;BGD;Price of electricity (US cents per kWh);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9,3;9;9,3;9,2;9,2;9,7;..;..;..;..
Bangladesh;BGD;Electric power consumption (kWh per capita);..;..;..;..;..;..;..;..;..;..;..;10,3837294;10,23841003;14,64618266;16,14853206;16,21143785;16,50954018;17,49473635;20,63555252;20,27881206;18,13421019;21,67028674;24,48186747;27,86519502;30,65187712;31,69058517;35,97168203;37,50612398;40,64706822;48,56346246;47,93385531;48,73546214;58,62206144;65,36837641;69,30768114;76,48989453;80,41584804;82,45709457;87,62331105;95,96478947;103,3644718;113,7612587;121,4628085;127,7698928;163,1604933;173,7318149;194,5819776;203,9949316;205,932668;224,8430049;245,9041709;263,9819899;281,4439959;299,4803504;317,24537;..;..;..;..;..;..;..;..;..
Bangladesh;BGD;Electricity production (kWh);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7,73E+09;8,27E+09;8,89E+09;9,21E+09;9,78E+09;1,08E+10;1,15E+10;1,19E+10;1,29E+10;1,45E+10;1,58E+10;1,74E+10;1,87E+10;1,97E+10;2,47E+10;2,64E+10;2,95E+10;3,10E+10;3,42E+10;3,72E+10;4,08E+10;4,42E+10;4,86E+10;5,31E+10;5,58E+10;5,90E+10;..;..;..;..;..;..;..;..
Bangladesh;BGD;Manufacturing, value added (% of GDP);5,309910797;5,470588542;5,448665141;5,359331468;5,514048718;5,445473719;5,998064082;5,582903418;6,153438202;5,851063658;5,804682835;5,485218348;3,983848151;8,521769535;9,251323716;7,04227568;9,283922984;11,22620919;9,910996048;9,861451587;14,4874848;13,98206522;13,9391494;15,04367939;15,6039256;14,45807009;14,22323064;13,47380665;13,42203116;12,90563053;13,23921855;13,98712269;14,39746369;15,41253836;15,86945466;15,90000685;14,00264514;14,11978066;14,85983116;14,38909508;14,03531575;14,17835702;14,31743755;14,14546156;14,44207319;14,74399876;15,30756218;15,93407299;16,12436697;16,48018606;16,12122836;15,99673425;15,91422067;16,44201947;16,61270766;16,78867356;20,3479481;20,07506151;20,80229593;21,20794388;20,59833159;21,23567299;21,76481936;22,34201887
Bangladesh;BGD;Manufacturing, value added (constant 2015 US$);1485542304;1607797496;1720417752;1814513472;1904164330;1985670678;2105852683;2105249552;2414958813;2491083502;2579474817;2159435622;1175932508;1939862603;2765996307;2463984696;2446961927;2732276563;2764448785;3073790773;3145257226;3281095050;3306298865;3411093032;3730101730;3934953018;4227627086;4570391538;4600667549;4718015182;5088674906;5407749642;5806065685;6313553323;6829905759;7566405918;8033664483;8412685495;9158860013;9477927538;9923349089;10571565360;11114801434;11856253589;12684083934;13680646385;15159614910;16756697881;17985180412;19189000733;20464448657;22513632775;24754913603;27306375367;29700258947;32762526976;36592733460;39185855446;43281734082;48620322521;49437533407;55164940268;61459716557;66926062962
Bangladesh;BGD;Population, total;50396429;51882769;53461661;55094115;56774465;58500159;60265259;62104488;63995652;65866908;67541860;68376204;69346705;71144818;72947807;74700345;76380080;78137788;80007550;81908151;83929765;86154836;88555336;91045478;93534239;95959099;98271746;100490256;102688833;104893674;107147651;109242834;111272102;113418757;115614891;117793338;119876868;122039226;124350471;126754824;129193327;131670484;134139826;136503206;138789725;140912590;142628831;144135934;145421318;146706810;148391139;150211005;152090649;154030139;155961299;157830000;159784568;161793964;163683958;165516222;167420951;169356251;171186372;172954319
Benin;BEN;Fertility rate, total (births per woman);6,282;6,402;6,457;6,51;6,565;6,606;6,638;6,65;6,683;6,712;6,743;6,788;6,824;6,831;6,842;6,851;6,857;6,854;6,843;6,911;6,99;7,052;7,051;7,034;7,018;6,985;6,948;6,896;6,847;6,797;6,732;6,667;6,596;6,506;6,413;6,314;6,261;6,204;6,097;5,998;5,89;5,824;5,777;5,77;5,721;5,676;5,636;5,563;5,483;5,436;5,39;5,366;5,347;5,345;5,348;5,319;5,303;5,269;5,199;5,13;5,048;4,973;4,895;..
Benin;BEN;Gross savings (% of GDP);..;..;..;..;..;..;..;..;..;..;..;..;..;..;11,10189064;10,14933463;11,21581482;13,61510053;10,50405423;12,64138757;4,172430599;-3,251559235;13,22154631;8,192516433;7,516613329;2,634223486;4,137374051;4,357862683;0,770432596;4,514204625;9,688373738;10,75654139;9,575206416;9,685313337;14,50610147;15,89711154;15,24389133;16,18785118;15,79857524;12,45653047;12,68387917;13,27892181;13,61328875;11,366391;13,25686578;12,19092972;12,46486564;14,04519041;12,64174075;11,45438675;11,38726242;12,125649;13,53316774;16,28315595;18,60217876;13,86203005;17,40228943;17,39915461;19,63660537;21,71952965;21,31082492;23,40327282;..;..
Benin;BEN;Bank deposits to GDP (%);2,902886;2,733563;1,558547;1,364726;1,209641;1,165725;1,255424;1,187258;1,431431;1,580761;1,766995;2,28276;2,212626;2,17451;2,988325;8,516121;6,680457;6,776631;7,491795;5,593527;14,14613;12,82643;16,08257;17,15261;17,56499;18,76649;17,30603;15,73189;14,13381;12,46212;16,49084;17,66937;20,31505;22,33795;19,4362;17,8936;16,9908;15,64499;14,27106;9,475783;10,45015;11,32045;11,15497;11,46623;11,15234;11,85633;12,60098;15,78373;16,68147;18,3308;19,40891;19,66478;18,61976;19,46883;21,17295;23,09321;22,157;21,33444;21,30742;21,01539;22,57111;24,753;22,57111;24,753
Benin;BEN;Literacy rate, youth total (% of people ages 15-24);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;29,78673935;..;..;..;..;..;..;..;..;..;..;..;..;39,8766098;..;..;..;..;..;..;..;..;47,9600029;45,3096199;..;..;..;42,36270142;..;..;..;..;..;52,49246979;..;..;..;..;..;..;..;..;..;66,40000153;..
Benin;BEN;Literacy rate, adult total (% of people ages 15 and above);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16,48273087;..;..;..;..;..;..;..;..;..;..;..;..;27,24517059;..;..;..;..;..;..;..;..;..;34,65784836;..;..;..;28,70211029;..;..;..;..;..;32,94881821;..;..;..;..;..;..;..;..;..;47,09999847;..
Benin;BEN;School enrollment, secondary (% net);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;17,4436;18,88049;..;..;..;..;..;..;..;..;..;..;..;43,42783;..;46,58049;..;..;..;..;..;..;..;..
Benin;BEN;School enrollment, secondary (% gross);..;..;..;..;..;..;..;..;..;..;..;4,132329941;4,960549831;6,079339981;6,732260227;7,805779934;8,113100052;8,614919662;9,417599678;10,13813972;11,5852499;14,47191048;17,27157974;19,86194038;18,90764046;17,88479996;15,44896984;14,30620003;..;..;..;..;..;..;..;..;..;..;..;20,09853935;20,8747406;22,65257072;24,59546089;25,94239044;27,7856102;..;..;..;..;..;..;47,41460037;..;54,08707809;54,73263168;57,3949585;57,52967072;..;..;..;45,74079132;46,07704163;45,36516953;..
Benin;BEN;Price of electricity (US cents per kWh);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;23,2;23,1;22,8;20,7;19,6;20,7;..;..;..;..
Benin;BEN;Electric power consumption (kWh per capita);..;..;..;..;..;..;..;..;..;..;..;10,3614159;11,40536965;17,97123363;16,35731154;17,46232208;18,78434103;20,58394103;44,81805656;24,11320991;26,8653205;30,95214114;17,01861071;35,47862341;31,44602813;32,35622072;30,10074742;29,85846873;34,97788735;32,73302702;33,89553824;35,70722794;37,92752289;37,85368883;37,98497956;40,85000424;43,68248155;47,12678483;44,04494833;50,96788154;57,01610298;60,31579687;67,00949153;63,45303588;69,03493218;72,27509102;73,42938182;77,93924925;84,32073362;85,69079317;92,95225028;89,03620874;90,47263263;93,90099459;97,1281349;..;..;..;..;..;..;..;..;..
Benin;BEN;Electricity production (kWh);..;..;..;..;..;..;..;..;..;..;..;..;..;9000000;3000000;4000000;4000000;5000000;5000000;8000000;10000000;15000000;7000000;21000000;61000000;24000000;26000000;26000000;20000000;20000000;21000000;23000000;25000000;26000000;52000000;33000000;47000000;59000000;79000000;72000000;84000000;66000000;63000000;80000000;81000000;107000000;154000000;220000000;229000000;128000000;150000000;1,55E+08;1,62E+08;1,73E+08;1,84E+08;3,42E+08;..;..;..;..;..;..;..;..
Benin;BEN;Manufacturing, value added (% of GDP);..;..;..;..;..;..;..;..;..;..;..;11,42150873;11,08388915;11,18279971;12,73991686;12,23497502;9,194901563;9,029592809;10,76107435;8,865208223;7,970468813;6,639706;9,097455938;8,672738383;7,925103429;7,888249519;7,180894529;7,17178972;8,130548032;7,835668413;7,376006869;7,160406202;7,941468232;7,426247821;8,05454443;8,077371806;8,275149107;8,468579033;7,987113987;13,16999002;13,98385772;15,63826572;15,64299615;15,74663839;14,80842935;15,67081858;15,43835004;13,7419113;12,24997876;12,21912052;11,73988533;11,73357014;10,71215569;10,9217699;10,38662818;10,03567008;9,93126564;9,62006825;9,162461995;9,86572844;9,687913103;9,479767827;9,823208667;10,06232409
Benin;BEN;Manufacturing, value added (constant 2015 US$);..;..;..;..;..;..;..;..;..;..;..;323934800,5;339847368,6;318251585;383038796,9;336437537,7;279606762,3;348940159,1;320524828,8;286426563,8;283016709,1;265967507,2;433049444,5;384175173,8;360306635,3;403497713,4;386448511,8;416000474,7;454645321,2;460845560,5;501019958,9;522559509,6;624720288,8;585335718,3;632522425,2;659028586,2;743444893,7;774893143,8;780391259,3;811349660,7;897354740,3;980003668;1005546021;1016423148;1017052021;1084413415;1117752587;1071702143;938044251,1;945427574,1;941843135,5;945311638,8;948527110,5;990273229,2;1075686893;1142878266;1216384930;1209537785;1255414747;1396734312;1443765381;1516501748;1626849825;1741917356
Benin;BEN;Population, total;2512284;2551216;2593302;2638082;2685619;2735843;2788642;2843739;2901218;2961166;3023443;3088381;3156408;3227380;3301276;3378703;3460329;3546454;3636927;3732394;3833939;3941569;4054385;4171526;4293070;4419552;4551382;4688787;4831624;4979680;5133419;5293046;5457778;5706181;5923394;6046511;6203860;6387026;6584183;6788589;6998023;7212041;7431783;7659208;7894554;8149419;8402631;8647761;8906469;9172514;9445710;9726380;10014078;10308730;10614844;10932783;11260085;11596779;11940683;12290444;12643123;12996895;13352864;13712828
